"","dem.BirthRate","dem.AdolescentFertRate.var","dem.MortalityUnder5","hs.GovHealthExpend","hs.BasicSanitation","eco.AgeDependancyRate","dem.DeathRate.var","dem.LifeExpectancy","sci.EduExpense","eco.CO2Emissions","dem.MortalityUnder5.var","dem.PopGrowth","hs.DrinkingWater","dem.BirthRate.var","clust_names"
"Cabo Verde - 2016",20.74366667,-0.9784,19.53333333,99.17613729,70.43550477,52.60374741,-0.060333333,72.11666667,5.22932918,0.971100527,-1.466666667,1.240154,85.79818629,-0.388333333,1
"Cambodia - 2004",26.49133333,-0.242,78.46666667,5.243083,17.94235937,71.94807201,-0.387,61.23666667,1.676666667,0.182327474,-8.233333333,1.730560797,56.88013927,-0.301666667,1
"Cambodia - 2008",26.03266667,-0.0388,55.66666667,6.320474466,28.99302375,63.84960881,-0.211666667,64.67266667,1.652408271,0.252211141,-4.233333333,1.498885825,62.90473511,-0.068333333,1
"Cambodia - 2012",25.155,0.3676,40.76666667,11.79390907,40.87703251,58.00964553,-0.105,67.02766667,1.612610566,0.362068203,-3.233333333,1.586151826,69.1180589,-0.347,1
"Cambodia - 2016",23.671,0.2722,31.66666667,15.37973722,53.39721738,55.59843087,-0.056,68.629,2.004175837,0.540900303,-1.633333333,1.602339267,75.38087717,-0.377,1
"Cameroon - 2004",41.088,-3.6418,133.7333333,7.648592472,39.68803192,91.00260829,-0.293666667,51.92166667,2.79448,0.221361484,-3.466666667,2.673890203,59.65875199,-0.108,1
"Cameroon - 2008",40.38733333,-3.148933333,120.8666667,7.665167014,39.25420498,88.57612965,-0.305,53.683,2.63,0.270452521,-3.233333333,2.739970456,60.08573423,-0.248666667,1
"Cameroon - 2012",38.978,-2.1632,105.9,11.91609001,38.98099346,86.78554931,-0.307,55.585,2.813333333,0.305028304,-4.2,2.739824375,60.26579926,-0.442,1
"Cameroon - 2016",36.96333333,-3.0318,88.63333333,8.719248772,38.85864258,85.03963049,-0.295333333,57.57633333,2.68,0.328848142,-4.266666667,2.681280685,60.20365535,-0.533666667,1
"Canada - 2004",10.53333333,-0.1936,6.1,1850.940104,99.78445286,45.21067363,-8.88e-16,79.70813008,4.861422189,17.12126284,-8.88e-16,0.973947148,99.1175726,0.033333333,3
"Canada - 2008",11.13333333,-0.2746,5.9,3038.952637,99.66952917,44.06855755,0.1,80.52764228,4.531666667,17.28198325,-0.1,1.02145892,99.19344672,0.233333333,2
"Canada - 2012",11.03333333,-0.4366,5.566666667,3914.095947,99.51739008,44.65558797,0.066666667,81.44796748,4.953333333,15.21437645,-0.033333333,1.058793042,99.29398144,-0.066666667,2
"Canada - 2016",10.7,-0.6214,5.3,3503.297933,99.36312381,47.12110378,0.066666667,81.86666667,4.93,15.24482637,-0.1,0.961341904,99.38902211,-0.1,2
"Central African Republic - 2004",41.055,-0.8146,165.6,4.630101442,17.35418397,88.40522919,-0.173666667,44.21933333,1.600885657,0.061451174,-1.4,2.06488216,55.2085827,-0.139,1
"Central African Republic - 2008",40.09566667,-0.905066667,157.7666667,6.346575419,20.55116272,88.95313733,-0.421333333,45.65166667,1.323333333,0.060011036,-2.633333333,1.885256347,51.09648698,-0.331333333,1
"Central African Republic - 2012",38.423,-1.086,143.4666667,4.576625665,23.94477082,90.13408031,-0.520333333,47.96666667,1.15,0.063127956,-4.133333333,0.750655152,46.98260322,-0.482,1
"Central African Republic - 2016",36.47,-1.8782,126.5666667,2.556468248,25.18618203,92.07689854,-0.529333333,50.86766667,1.15,0.065213616,-4.833333333,0.665863119,46.23045823,-0.457,1
"Chad - 2004",50.11,-2.7296,175.0333333,6.95479393,11.37340982,108.1159663,-0.225666667,48.07566667,1.8,0.070923648,-3.366666667,3.830224666,40.97624048,-0.341,1
"Chad - 2008",48.31566667,-3.0104,160.5666667,7.585718791,11.15028336,107.4397004,-0.397333333,49.354,1.295,0.079227173,-3.833333333,3.408178151,40.33653504,-0.532333333,1
"Chad - 2012",46.011,-3.572,144.6,8.425308704,10.03717388,104.8556189,-0.427666667,51.414,1.621866146,0.073965506,-4,3.356315832,39.65280637,-0.592,1
"Chad - 2016",43.73566667,-3.426,129.3666667,8.679550171,8.84581423,101.254581,-0.269666667,53.12133333,1.765598438,0.071322349,-3.733333333,3.220985092,39.00786941,-0.540333333,1
"Chile - 2004",15.43633333,-0.3932,9.533333333,141.7348735,93.74525299,51.25034537,0.023666667,77.14366667,3.62,3.585889101,-0.266666667,1.05483133,96.58798936,-0.276666667,1
"Chile - 2008",14.845,-0.346266667,8.933333333,275.9021301,95.79183328,47.82935837,0.036,78.098,3.546170455,4.199072892,-0.066666667,1.065300672,97.63747953,-0.069,1
"Chile - 2012",14.44466667,-0.2524,8.533333333,466.4599609,97.80439428,45.57525209,0.047666667,78.98033333,4.336666667,4.495442309,-0.166666667,0.999808577,98.65806363,-0.168333333,1
"Chile - 2016",13.36666667,-2.55,7.9,563.1813558,99.62855518,45.24455514,0.071333333,79.643,4.57,4.599965247,-0.2,1.188034735,99.54104534,-0.333333333,1
"China - 2004",12.52,-0.2918,28.86666667,15.9074564,60.86442352,41.68280018,0,72.377,1.79,3.523049314,-2.633333333,0.628931106,82.6433168,-0.34,1
"China - 2008",12.11,-0.188733333,20.16666667,42.00235303,68.34464267,37.1196226,0.123333333,73.553,1.79,5.254784281,-1.733333333,0.531011055,86.15250438,0.02,1
"China - 2012",11.97666667,0.0174,14.63333333,127.7633692,75.17968678,36.56627417,0.023333333,74.71,1.79,7.075595447,-1.166666667,0.483113754,89.18198726,0.076666667,1
"China - 2016",12.46333333,0.0516,10.73333333,226.3860474,81.66429059,37.79612395,-0.04,75.92233333,1.79,7.372747368,-0.866666667,0.518642284,91.72610305,0.093333333,1
"Colombia - 2004",20.52833333,-2.6754,22.73333333,103.0975393,74.81730315,58.36459886,-0.006333333,73.77333333,4.143594791,1.351590659,-0.666666667,1.473939869,92.21275563,-0.604666667,1
"Colombia - 2008",18.142,-2.372,20.2,212.4776815,79.11037999,54.50188429,0.018666667,74.73133333,3.746666667,1.474291855,-0.6,1.233130335,93.81556639,-0.548,1
"Colombia - 2012",16.47433333,-1.7652,17.8,350.440328,83.35209826,50.24421299,0.03,75.65366667,3.452170969,1.70949729,-0.6,0.973931995,95.30172019,-0.304666667,1
"Colombia - 2016",15.516,-1.3334,15.6,333.2464701,87.54492968,47.54893007,0.039,76.52833333,3.456264051,1.952135734,-0.5,1.179059374,96.66300184,-0.209,1
"Comoros - 2004",36.74766667,-2.5356,98.86666667,8.628777504,31.60442551,85.1537791,-0.080333333,59.753,2.190586677,0.215371066,-0.733333333,2.391070497,89.17216676,-0.224333333,1
"Comoros - 2008",35.90166667,-2.028466667,91.8,8.028945128,33.42232938,81.00864566,-0.168,60.745,2.286115896,0.193133606,-2.4,2.396996407,85.8581401,-0.208333333,1
"Comoros - 2012",34.90066667,-1.0142,81.7,9.219133695,34.51597516,77.98000786,-0.175333333,62.23233333,2.381645116,0.207844734,-2.7,2.416449912,82.59959117,-0.308333333,1
"Comoros - 2016",33.32033333,-1.819,71.9,8.279493014,35.50586345,75.61732875,-0.112,63.46166667,2.469213567,0.224430462,-2.4,2.346819566,80.16229709,-0.460666667,1
